A0,PA0
A1,PA1
A2,PA2
A3,PA3
A5,PA5
A7,PA7
A9,PA9
A10,PA10
A15,PA15
B0,PB0
B1,PB1
B5,PB5
B10,PB10
B11,PB11
B12,PB12
B13,PB13
B14,PB14
B15,PB15
C0,PC0
C1,PC1
C2,PC2
C3,PC3
C4,PC4
C5,PC5
D0,PD0
D1,PD1
D4,PD4
D5,PD5
D8,PD8
D9,PD9
D10,PD10
D14,PD14
D15,PD15
E7,PE7
E8,PE8
E9,PE9
E15,PE15
SW,PC13
LED_BLUE,PE3
LCD_BL,PE10
LCD_CS,PE11
LCD_CLK,PE12
LCD_DC,PE13
LCD_MOSI,PE14
USB_DM,PA11
USB_DP,PA12
USB_ID,PA10
QSPIFLASH_CS,PB6
QSPIFLASH_SCK,PB2
QSPIFLASH_IO0,PD11
QSPIFLASH_IO1,PD12
QSPIFLASH_IO2,PE2
QSPIFLASH_IO3,PD13
SPIFLASH_CS,PD6
SPIFLASH_SCK,PB3
SPIFLASH_MISO,PB4
SPIFLASH_MOSI,PD7
SDCARD_DETECT,PD4
SDCARD_CK,PC12
SDCARD_CMD,PD2
SDCARD_D0,PC8
SDCARD_D1,PC9
SDCARD_D2,PC10
SDCARD_D3,PC11
